(-1.0;9.21155792896;0),(-1.0;9.21155792896;0),(-97.0;-97.0;0),(3.0;3.0;0),
(-1.0;10.3190237694;0),(-1.0;10.3190237694;0),(-93.0;-93.0;0),(7.0;7.0;0),
(-1.0;11.4373127212;0),(-1.0;11.4373127212;0),(-89.0;-89.0;0),(11.0;11.0;0),
(-1.0;13.85;1),(-1.0;12.247727844;0),(-85.0;-85.0;0),(15.0;15.0;0),
(-1.0;17.81;1),(-1.0;12.493131094;0),(-81.0;-81.0;0),(19.0;19.0;0),
(-1.0;21.77;1),(-1.0;12.2694885943;0),(-77.0;-77.0;0),(23.0;23.0;0),
(-1.0;25.73;1),(-1.0;11.6520309046;0),(-73.0;-73.0;0),(27.0;27.0;0),
(-1.0;29.69;1),(-1.0;10.6754447375;0),(-69.0;-69.0;0),(31.0;31.0;0),
(-1.0;33.65;1),(-1.0;9.37393448558;0),(-65.0;-65.0;0),(35.0;35.0;0),
(-1.0;10.4864307438;0),(-1.0;10.4864307438;0),(-111.0;-111.0;0),(-11.0;-11.0;0),
(-1.0;11.6092536621;0),(-1.0;11.6092536621;0),(-111.0;-111.0;0),(-11.0;-11.0;0),
(-1.0;33.65;1),(-1.0;10.4212434241;0),(-65.0;-65.0;0),(35.0;35.0;0),
(-1.0;29.69;1),(-1.0;9.27650516953;0),(-69.0;-69.0;0),(31.0;31.0;0),
(-1.0;25.73;1),(-1.0;8.19397333112;0),(-73.0;-73.0;0),(27.0;27.0;0),
(-1.0;21.77;1),(-1.0;7.2093385268;0),(-77.0;-77.0;0),(23.0;23.0;0),
(-1.0;17.81;1),(-1.0;6.39052725787;0),(-81.0;-81.0;0),(19.0;19.0;0),
(-1.0;13.85;1),(-1.0;5.87086328134;0),(-85.0;-85.0;0),(15.0;15.0;0),
(-1.0;9.89;1),(-1.0;5.95903668995;0),(-89.0;-89.0;0),(11.0;11.0;0),
(-1.0;7.03103031335;0),(-1.0;7.03103031335;0),(-93.0;-93.0;0),(7.0;7.0;0),
(-1.0;8.11497344154;0),(-1.0;8.11497344154;0),(-97.0;-97.0;0),(3.0;3.0;0),
(0.0;0.0;0),